Entity,Code,Year,co-emissions-per-capita,gdp-per-capita-worldbank,live-expectancy,long-run-air-pollution,total-healthcare-expenditure-gdp,unemployement-rate,co-emissions-per-capita_normalized,gdp-per-capita-worldbank_normalized,live-expectancy_normalized,long-run-air-pollution_normalized,total-healthcare-expenditure-gdp_normalized,unemployement-rate_normalized,social_score,environmental_score,economic_score,sustainability_index
Afghanistan,AFG,2024.0,0.25384834,1983.8126,66.0346,390734.4,23.08817,13.295,99.52005934160266,1.862883246868257,36.90266718061052,98.15695799273031,100.0,61.961516017972805,68.45133359030527,98.83850866716648,31.91219963242053,66.4006806299641
Albania,ALB,2024.0,1.5919901,18919.807,79.6019,20383.883,6.19368,10.25,96.30595934369273,14.590535955411601,78.99475401205261,99.90385194484982,21.36737282497958,70.75695862753108,50.181063418516096,98.10490564427127,42.67374729147134,63.653238784752894
Algeria,DZA,2024.0,4.233817,15442.124,76.261,576903.6,3.62304,11.427,89.96052114903661,11.97700524626085,68.62972538475279,97.27882272729222,9.4027514175743,67.35720954659509,39.01623840116355,93.61967193816442,39.667107396427966,57.43433924525198
American Samoa,,,,,72.8518,497.73514,,,,,58.05279833030921,99.99765224978523,,,58.05279833030921,99.99765224978523,,79.02522529004722
Andorra,AND,2024.0,5.1816607,65928.305,84.0406,,7.53679,,87.68388310869257,49.91812421289556,92.7656698036045,,27.618657586167497,,60.192163694886,87.68388310869257,49.91812421289556,65.93139033882471
Angola,AGO,2024.0,0.5894967,7344.1455,64.617,183271.23,2.92738,14.464,98.71386120518514,5.891253470784898,32.50461139263119,99.1355340722138,6.16491627602373,58.58487483223434,19.33476383432746,98.92469763869947,32.23806415150962,50.16584187484551
Anguilla,AIA,2024.0,10.126855,,79.3115,,,,75.8059569693169,,78.09379788844284,,,,78.09379788844284,75.8059569693169,,76.94987742887986
Antigua and Barbuda,ATG,2024.0,7.092406,29561.807,77.5976,7619.931,5.72999,,83.0944392632689,22.588157879773966,72.7764814275104,99.9640578026263,19.209203925250428,,45.99284267638042,91.5292485329476,22.588157879773966,53.37008302970067
Argentina,ARG,2024.0,3.7434063,26547.05,77.3947,1204697.6,9.86305,7.876,91.13844495125394,20.322522972818042,72.14699107805993,94.31760223093492,38.445852446276504,77.61422652739685,55.296421762168215,92.72802359109443,48.968374750107444,65.66427336779003
Armenia,ARM,2024.0,2.498691,20078.785,75.6827,25031.814,9.96213,13.329,94.12814272671868,15.461525230233404,66.83556930250923,99.88192827475605,38.90700402294446,61.86330746338332,52.871286662726845,97.00503550073736,38.662416346808364,62.84624617009086
Aruba,ABW,2024.0,8.518487,40516.81,76.353,8525.112,,,79.66911686759134,30.821006232927083,68.91515225586882,99.95978818467819,,,68.91515225586882,89.81445252613477,30.821006232927083,63.1835370049769
Australia,AUS,2024.0,14.477199,60082.004,83.9228,1044802.4,9.92688,4.072,65.35680945798936,45.52454170453045,92.40019930993634,95.07180654558137,38.74293869111619,88.60203069382038,65.57156900052627,80.21430800178535,67.06328619917542,70.94972106716234
Austria,AUT,2024.0,6.180112,63314.46,81.9559,118744.805,11.15729,5.439,85.28569001946175,47.95378066103643,86.29795895343482,99.43989660557133,44.469679824019096,84.65346910194316,65.38381938872695,92.36279331251654,66.3036248814898,74.68341252757777
Azerbaijan,AZE,2024.0,3.8533201,22072.105,74.4286,107836.82,3.97841,5.594,90.87444157365196,16.959534977862607,62.94476670395895,99.49134811475422,11.056762679186045,84.20575363249111,37.0007646915725,95.18289484420309,50.582644305176856,60.922101280317484
Bahamas,BHS,2024.0,7.64968,36244.035,74.5518,28783.98,7.21692,8.463,81.75591563611951,27.609952012116395,63.326990513975204,99.86422980859527,26.129875240297707,75.91868471727841,44.728432877136456,90.81007272235739,51.7643183646974,62.434274654730416
Bahrain,BHR,2024.0,24.270082,59129.14,81.2835,61971.336,3.83745,1.102,41.835157140799794,44.80845017875187,84.2118608214954,99.70768948038713,10.400687525299135,97.18083678590185,47.30627417339727,70.77142331059346,70.99464348232686,63.0241136554392
Bangladesh,BGD,2024.0,0.6240862,8486.785,74.6723,1064385.6,2.39039,4.68,98.63078023783105,6.749964118862557,63.70083766581743,94.9794352052623,3.6655845728048577,86.84583065880842,33.683211119311146,96.80510772154668,46.797897388835494,59.09540540989777
Barbados,BRB,2024.0,4.8328743,19945.736,76.1782,17001.39,6.29389,7.529,88.52163767328445,15.361536919820468,68.37284120074837,99.91980671281573,21.833783800937354,78.61653148158955,45.10331250084286,94.22072219305008,46.98903420070501,62.10435629819932
Belarus,BLR,2024.0,6.163221,29037.53,74.4339,152752.47,6.6592,3.361,85.32626073079258,22.19415588488213,62.961209773708,99.27948698930986,23.534059158956843,90.65574487950049,43.24763446633242,92.30287386005122,56.42495038219131,63.99181956952498
Belgium,BEL,2024.0,7.2798314,63083.184,82.115,750371.0,10.76192,5.488,82.64425977126331,47.77997329323162,86.79156129250613,96.46060015694302,42.62949513621924,84.51193324385832,64.71052821436268,89.55242996410317,66.14595326854497,73.46963714900362
Belize,BLZ,2024.0,1.9085852,13277.936,73.5656,7407.602,4.23174,7.0,95.54552547886193,10.350585644941367,60.26733855425086,99.96505933017637,12.235845530591913,80.14454105152595,36.251592042421386,97.75529240451915,45.247563348233655,59.7514825983914
Benin,BEN,2024.0,0.4194466,3901.326,60.7738,60139.723,2.67981,1.722,99.12230673942703,3.3039232025249587,20.58121409835758,99.71632895441363,5.01264239798895,95.38997490809359,12.796928248173266,99.41931784692034,49.346949055309274,53.85439838346762
Bermuda,BMU,2024.0,8.506047,105322.914,82.3089,8714.704,,,79.69899666446278,79.52376118339762,87.39312944804308,99.95889390452204,,,87.39312944804308,89.82894528449242,79.52376118339762,85.58194530531104
Bhutan,BTN,2024.0,2.0939395,14645.266,72.9753,20018.916,4.38546,2.856,95.10032058872937,11.378154559228003,58.43595288012261,99.90557344547088,12.95131000743283,92.11443076384431,35.69363144377772,97.50294701710013,51.74629266153616,61.64762370747133
Bolivia,BOL,2024.0,2.3127308,9844.276,68.5814,122818.18,8.43143,3.091,94.57480293589661,7.7701388777165885,44.80402756494026,99.42068303943444,31.782612436290844,91.43563634241698,38.29332000061555,96.99774298766553,49.60288761006679,61.63131686611596
Bonaire Sint Eustatius and Saba,BES,2024.0,4.947458,,77.4355,,,,88.2464176024823,,72.27357169046792,,,,72.27357169046792,88.2464176024823,,80.2599946464751
Bosnia and Herzegovina,BIH,2024.0,6.1391783,20428.525,77.8504,39261.566,8.71645,10.723,85.38400920283769,15.724360063143244,73.56078482988143,99.8148084340432,33.10919118459424,69.39070432397736,53.33498800723783,92.59940881844045,42.557532193560306,62.830643006412856
Botswana,BWA,2024.0,2.9596071,18068.506,69.1631,42942.098,5.72839,23.138,93.02106238565926,13.950770540843699,46.60873203155114,99.7974478558983,19.201756988202902,33.530139464316974,32.90524450987702,96.40925512077878,23.740455002580337,51.018318211078714
Brazil,BRA,2024.0,2.2783718,19647.91,75.8482,2825221.0,9.14277,7.634,94.65733026231992,15.137716233178374,67.3490274239191,86.67380967014809,35.09342756090715,78.31324035712201,51.22122749241312,90.665569966234,46.7254782951502,62.87075858459911
British Virgin Islands,VGB,2024.0,4.873842,,77.2758,2095.4548,,,88.42323682486882,,71.77810787180236,99.99011601942206,,,71.77810787180236,94.20667642214545,,82.99239214697391
Brunei,BRN,2024.0,26.046202,79184.09,75.3266,11076.574,1.81768,5.144,37.569071544391996,59.88004459822104,65.73078116333073,99.94775327900837,1.0,85.50557273735193,33.365390581665366,68.75841241170018,72.69280866778648,58.27220388705067
Bulgaria,BGR,2024.0,4.6793866,34083.234,75.6363,90824.02,7.66358,4.104,88.89030176478488,25.98607779187732,66.69161488055508,99.57159522138542,28.208780803827267,88.50959911303029,47.45019784219117,94.23094849308515,57.247838452453806,66.30966159591004
Burkina Faso,BFA,2024.0,0.27634817,2547.9326,61.092,66535.76,6.77182,5.166,99.46601670896263,2.28682785126323,21.56841877650023,99.68615970166535,24.058230440389472,85.44202602555873,22.81332460844485,99.576088205314,43.86442693841098,55.41794658405661
Burundi,BDI,2024.0,0.065253265,835.62085,63.6511,13273.666,8.39523,0.902,99.97304829111674,1.0,29.507939492511774,99.93738988932516,31.61412548559059,97.75853416583999,30.561032489051183,99.95521909022095,49.379267082919995,59.96517288739738
Cambodia,KHM,2024.0,1.2405994,7011.5815,70.6675,193897.23,4.7109,0.27,97.14996921013288,5.641326658376174,51.27608186749651,99.0854126486349,14.466017002899319,99.58405788644454,32.87104943519791,98.11769092938388,52.61269227241036,61.20047754566405
Cameroon,CMR,2024.0,0.33071235,4919.1416,63.6996,68676.305,4.47836,3.518,99.33543868199456,4.068826825670799,29.658409093045766,99.6760630366329,13.383697789754725,90.20225243624905,21.521053441400245,99.50575085931374,47.135539630959926,56.054114643891296
Canada,CAN,2024.0,13.419917,56691.906,82.6302,1405764.1,11.23433,6.45,67.89630876633633,42.97683243084722,88.38995177075599,93.36919838997623,44.8282498428574,81.73320884635584,66.6091008068067,80.63275357815628,62.35502063860153,69.86562500785483
Cape Verde,CPV,2024.0,1.1312839,9907.589,76.0587,16203.997,6.6744,11.878,97.41253552322777,7.817719542713503,68.00209651489654,99.923567909156,23.604805060908326,66.05450195483456,45.803450787902435,98.66805171619188,36.936110748774034,60.469204417622784
Cayman Islands,,,,78109.35,80.3576,6896.708,,,,59.07236143838369,81.33928756099168,99.96746914897723,,,81.33928756099168,99.96746914897723,59.07236143838369,80.12637271611753
Central African Republic,CAF,2024.0,0.07403937,1111.6533,57.4077,13356.241,9.95509,5.899,99.9519448318972,1.2074425083589042,10.13800332809988,99.93700039407275,38.874237499935354,83.32476512808543,24.506120414017616,99.94447261298498,42.26610381822217,55.572232281741584
Chad,TCD,2024.0,0.13948385,2605.7717,55.0692,44195.484,4.5255,1.088,99.79475288907103,2.3302947986646005,2.8828866095687666,99.79153580144565,13.603103172517416,97.22127560249751,8.242994891043091,99.79314434525834,49.775785200581055,52.60397481229416
Chile,CHL,2024.0,3.983124,30182.787,81.1667,440221.28,10.06173,9.056,90.5626639076454,23.05483362329873,83.84949279381765,97.92353498557068,39.37057585415287,74.20581198576181,61.61003432398526,94.24309944660804,48.63032280453027,68.16115219170786
