DW_NAME,VALUE
Cuba,95.94456439283422
Singapore,95.58639201727256
North Korea,92.10576530314523
Qatar,91.8747520520232
Luxembourg,89.9616299140949
Macao,89.2503231721027
Ireland,87.39688484637318
Venezuela,84.5494835735543
Eritrea,84.32418159537842
Guam,84.22886152768862
Bermuda,79.52376118339762
Norway,78.86893662165866
Switzerland,75.25417935809394
United Arab Emirates,73.05861072845336
United States,72.80445643754436
Brunei,72.69280866778648
Netherlands,71.81204601497771
Hong Kong,71.1985945568146
Bahrain,70.99464348232686
Iceland,70.5473522314858
Denmark,69.99570287034801
Malta,69.18616520947761
Germany,69.05765607387116
Saudi Arabia,68.29244944254513
New Caledonia,68.15732041780942
Australia,67.06328619917542
French Polynesia,66.42422827799498
Austria,66.3036248814898
Belgium,66.14595326854497
South Korea,65.55068867284156
Czechia,64.77071804650427
Kuwait,64.34103972415028
South Sudan,64.32429830191981
United Kingdom,64.16472371025466
Japan,63.987841463823685
Poland,63.74920964017017
Slovenia,63.74235141857929
Israel,63.60654113871232
Russia,62.389236888251865
Canada,62.35502063860153
Cyprus,62.28734156775482
Guyana,62.10202594063686
Sweden,61.82148203460427
New Zealand,61.43351681322919
Italy,60.53731112811691
France,60.18953259212903
Oman,59.575830969890646
Finland,59.34142488593601
Hungary,59.25834597494999
Cayman Islands,59.07236143838369
Puerto Rico,59.0452091194566
Croatia,58.8249605059456
Slovakia,57.969340126527335
Romania,57.85831466444873
Malaysia,57.64509620546759
Thailand,57.53503013177046
Lithuania,57.25448801294626
Bulgaria,57.247838452453806
Kazakhstan,56.93601798269312
Portugal,56.88610309480919
Belarus,56.42495038219131
Trinidad and Tobago,55.71010659920996
Latvia,55.29317830761843
Mexico,54.73180750864339
Estonia,54.67371098395439
Panama,54.64174958816111
Moldova,54.48413418832007
Greenland,53.75779061514322
Vietnam,53.71789657231775
San Marino,53.64508592053727
Faroe Islands,53.30043365679626
China,52.726516858183054
Mauritius,52.72394338222367
Cambodia,52.61269227241036
Maldives,52.446804542352126
Spain,52.08880763767227
Guatemala,51.9131153634472
Laos,51.84450572595527
Bahamas,51.7643183646974
Bhutan,51.74629266153616
Dominican Republic,51.56804339431413
Turkey,51.42770345217906
Philippines,51.15736468387526
Indonesia,51.03935545551224
Yemen,51.011262181245264
Turkmenistan,50.89825178581929
El Salvador,50.65252143947424
Azerbaijan,50.582644305176856
Niger,50.52139194368209
United States Virgin Islands,50.48178712319985
Uruguay,50.27370286204168
Greece,49.91929876642544
Andorra,49.91812421289556
Tonga,49.86089525787034
Serbia,49.797062520893405
Chad,49.775785200581055
East Timor,49.62586319481333
Bolivia,49.60288761006679
Cote d'Ivoire,49.59358777852199
Fiji,49.447477135318174
Burundi,49.37926708292
Benin,49.34694905530928
Peru,49.28019603137117
Solomon Islands,49.19451333009895
Costa Rica,49.16903128996197
Argentina,48.96837475010744
Mongolia,48.84762398691061
Ecuador,48.71099274850998
Ghana,48.67871827803299
Togo,48.63691151354469
Chile,48.63032280453027
Sri Lanka,48.320274818486666
Kyrgyzstan,48.26557079051458
Nigeria,48.17997600858613
Tanzania,48.042899072653775
Papua New Guinea,48.02534251217537
India,47.98811065540303
Myanmar,47.97164477898993
Uzbekistan,47.81296185676169
Senegal,47.736173615311166
Paraguay,47.69165858002734
Guinea-Bissau,47.59031836648887
Uganda,47.20334658279638
Jamaica,47.1681243794042
Cameroon,47.135539630959926
Suriname,47.08359193458314
Mali,47.04235956547551
Sierra Leone,47.01543306826528
Barbados,46.98903420070501
Liberia,46.828777855358986
Bangladesh,46.79789738883549
Brazil,46.7254782951502
Nicaragua,46.640918520754255
Madagascar,46.64057142761697
Ethiopia,46.54422861807702
Samoa,46.38603821087684
Egypt,46.28435059207703
Comoros,46.11206055626922
Mozambique,45.83601581037868
Belize,45.247563348233655
Equatorial Guinea,44.876784485300206
Kenya,44.70815392014744
Pakistan,44.54339678938501
Democratic Republic of Congo,44.35320400740584
Guinea,44.32832337576654
Vanuatu,44.24519780929549
Honduras,44.089108731025135
Burkina Faso,43.86442693841098
Saint Lucia,43.69833779714513
Malawi,43.69646114123796
Colombia,43.444585001290925
Iran,43.18880040349183
Georgia,43.18224362225629
Zambia,43.15517749644324
Albania,42.67374729147134
Bosnia and Herzegovina,42.55753219356031
Ukraine,42.29759743158967
Central African Republic,42.26610381822217
Gambia,42.12508956296266
Morocco,40.8586996081621
Montenegro,40.46976363068748
Sudan,40.1960943026984
North Macedonia,40.18309419108008
Algeria,39.667107396427966
Zimbabwe,39.31033738965146
Sao Tome and Principe,39.18358583857562
Armenia,38.66241634680837
Lebanon,37.95451493740551
Mauritania,37.79056372919468
Cape Verde,36.936110748774034
Nepal,36.80229232259661
Tajikistan,35.35128869846153
Sint Maarten (Dutch part),34.80779295616917
Rwanda,34.27244251086963
Syria,33.22206299186775
Iraq,32.72907850863457
Angola,32.23806415150962
Afghanistan,31.91219963242053
Tunisia,31.744118625623106
Saint Vincent and the Grenadines,31.322724556492503
Aruba,30.821006232927083
Haiti,29.672935353500574
Gabon,28.50550841680213
Libya,28.09615692680536
Lesotho,28.03900173798002
Jordan,27.954684176926687
Namibia,26.57689909435975
Turks and Caicos Islands,25.465498136703555
Congo,24.24778717120403
Saint Kitts and Nevis,23.87240897420829
Botswana,23.740455002580337
Somalia,23.657279279929927
Antigua and Barbuda,22.588157879773966
Seychelles,22.347649052514285
Curacao,21.170624108819293
Palestine,16.544535321647437
Djibouti,15.568804030407154
Dominica,14.454929594716276
Grenada,13.705528672531615
Kosovo,12.68248538117568
Palau,12.243350405425968
Nauru,9.844159646271304
South Africa,7.575163663190289
Marshall Islands,5.7921955358598725
Tuvalu,4.7401234020086775
Eswatini,4.581587963716782
Micronesia (country),3.2455139588484614
Kiribati,2.8198049476921634
