DW_NAME,VALUE
Guam,100.0
Tokelau,99.99998799317244
American Samoa,99.99765224978523
Western Sahara,99.99730559896344
Falkland Islands,99.99696237711493
United States Virgin Islands,99.99347877874608
Cayman Islands,99.96746914897724
French Guiana,99.9618230786273
Burundi,99.95521909022096
Central African Republic,99.94447261298498
Somalia,99.899801648344
Malawi,99.8814727910343
Guadeloupe,99.8807930098897
Puerto Rico,99.87049730724095
Martinique,99.86524747726256
Guinea-Bissau,99.85678069817234
Rwanda,99.84758039692504
Reunion,99.83543633845376
Liberia,99.8251575809798
Niger,99.8239542096058
South Sudan,99.81073067627962
Sierra Leone,99.80830610841728
Democratic Republic of Congo,99.80562262423584
Chad,99.79314434525834
Eritrea,99.77219658725514
Madagascar,99.71215785692422
Gambia,99.69402511537125
Haiti,99.64454938745143
Solomon Islands,99.6287771675394
Yemen,99.62343461820728
Togo,99.62294387421946
Guinea,99.60453952867698
Uganda,99.59114453947596
Burkina Faso,99.576088205314
Mali,99.57411064049084
Mozambique,99.54686106346504
Cameroon,99.50575085931374
East Timor,99.48023823482208
Djibouti,99.4469019690088
Benin,99.41931784692034
Kiribati,99.41662593116666
Vanuatu,99.33928159779234
Sao Tome and Principe,99.33611018463375
Ethiopia,99.33038127860468
Cote d'Ivoire,99.31782453213934
Tanzania,99.300792912869
Comoros,99.29350644621208
Zambia,99.2512378387356
Kenya,99.12247295983344
Eswatini,99.03005592759634
Palestine,99.02027531554803
Ghana,99.02004756172876
Papua New Guinea,98.97144181688188
Nicaragua,98.95948373396072
Sudan,98.93960193824884
Angola,98.92469763869948
Senegal,98.92152295623887
Zimbabwe,98.90114007752052
Afghanistan,98.83850866716648
Nepal,98.76926425762322
Mauritania,98.73985063120536
Lesotho,98.71425337832996
Samoa,98.7079920805424
Cape Verde,98.66805171619188
Namibia,98.62838162407886
Tajikistan,98.62023612976536
Micronesia (country),98.46459089919232
Paraguay,98.44217752695718
Gibraltar,98.42538420592982
Honduras,98.321750821013
Congo,98.32152442267112
Tonga,98.30407999890676
Macao,98.28867191944616
Guatemala,98.26100469604653
Sri Lanka,98.24145721138508
El Salvador,98.21662739279334
Syria,98.1790763227986
Fiji,98.14658425784992
Cambodia,98.11769092938388
Albania,98.10490564427128
Myanmar,98.0722494564028
Kyrgyzstan,97.93046139427874
Moldova,97.87643983793592
Costa Rica,97.82739165663315
Belize,97.75529240451915
Bhutan,97.50294701710013
Jordan,97.41532541261148
Gabon,97.39010975173632
Morocco,97.29482647830535
Tuvalu,97.28792716262213
Cuba,97.06948155855314
Uruguay,97.0400470620342
Saint Vincent and the Grenadines,97.00712685434893
Armenia,97.00503550073736
Bolivia,96.99774298766552
Dominica,96.9620105033953
Nigeria,96.9574002962482
Peru,96.84533184488168
North Korea,96.84105038759208
Wallis and Futuna,96.82305155747414
Bangladesh,96.80510772154668
Colombia,96.66252466075906
Tunisia,96.606950383649
Philippines,96.5738910918367
Lebanon,96.5429974395719
Saint Lucia,96.46394433444088
Botswana,96.40925512077878
Jamaica,96.32399629399708
Georgia,96.23493213795123
Ecuador,96.21547028658674
Grenada,96.1945650669357
French Polynesia,96.1134156301211
Liechtenstein,96.10262014170932
Dominican Republic,96.06810496834314
Laos,95.95389453820565
Panama,95.94061616112796
Malta,95.84161174565196
Latvia,95.810154981321
North Macedonia,95.65769440876618
Switzerland,95.59536340120492
Montenegro,95.58011963747396
Equatorial Guinea,95.56105392529189
Portugal,95.5276970753328
Mauritius,95.42301856717246
Egypt,95.3267353102932
Romania,95.26776600101624
Pakistan,95.24548972529487
Azerbaijan,95.18289484420308
Marshall Islands,95.12616363516408
Niue,95.08940838171162
Sweden,95.0473696777657
Saint Helena,94.9302007818922
Hungary,94.87720277199948
Maldives,94.78734158349457
Venezuela,94.6505134014508
Lithuania,94.65039636128928
Ukraine,94.62243848063132
Uzbekistan,94.54595183095611
Suriname,94.34864175112088
Kosovo,94.2801993694671
Chile,94.24309944660804
Bulgaria,94.23094849308517
Croatia,94.23001283260396
Barbados,94.22072219305008
British Virgin Islands,94.20667642214543
Denmark,94.10298395615186
Seychelles,94.0159095264933
Algeria,93.61967193816442
Slovakia,93.59686907415596
Cyprus,93.53663511390891
Guyana,93.4571286250409
Finland,93.40352190403031
Saint Kitts and Nevis,93.4001642463512
France,93.3623151456328
Hong Kong,93.06972019961962
Cook Islands,93.06880385897468
Mexico,92.93904723318012
Greece,92.86270509100513
Montserrat,92.83248941728648
Vietnam,92.8217382377862
Slovenia,92.76541981872258
Argentina,92.72802359109444
United Kingdom,92.66395266640254
Thailand,92.64176725679587
Estonia,92.6323859052064
Bosnia and Herzegovina,92.59940881844044
Austria,92.36279331251654
Serbia,92.3497395198578
Israel,92.32812890468496
Belarus,92.30287386005122
Ireland,92.23999454766698
Italy,92.18891487604564
New Zealand,92.13056137977551
Iraq,91.94708037808827
Spain,91.81792429506878
Norway,91.58454907389674
Antigua and Barbuda,91.5292485329476
Czechia,91.25501025820049
Turkey,90.816768138988
Bahamas,90.8100727223574
Brazil,90.665569966234
Turks and Caicos Islands,90.29195634918582
Poland,90.25379362544982
Netherlands,89.94339519481005
Bermuda,89.82894528449242
Aruba,89.81445252613477
Germany,89.60889964493151
Belgium,89.55242996410317
Libya,88.85670589496766
Iceland,88.40274692180759
Saint Pierre and Miquelon,88.30805541196727
Bonaire Sint Eustatius and Saba,88.2464176024823
Malaysia,88.13780592316577
Nauru,87.80913974559851
Andorra,87.68388310869257
Luxembourg,87.44461364440457
South Africa,87.42657367439799
Greenland,86.7584806390508
Japan,85.84330502267474
Taiwan,85.6239102080749
Iran,85.56987462141436
Turkmenistan,85.48910813407738
Curacao,84.913827480422
Palau,84.72261356485294
Faroe Islands,84.34533157975454
Mongolia,84.23699695075257
Indonesia,83.61856402031137
South Korea,82.66103554620662
Kazakhstan,81.13688997910876
Canada,80.63275357815628
Oman,80.47265128971995
Australia,80.21430800178535
Sint Maarten (Dutch part),80.16755200930368
Singapore,79.46696856169311
New Caledonia,78.31524499256435
Anguilla,75.8059569693169
India,74.87128667775808
Russia,73.86608948794844
Trinidad and Tobago,72.40306692971782
United Arab Emirates,71.03068033819125
Bahrain,70.77142331059346
Saudi Arabia,69.24302981545111
Brunei,68.75841241170018
Kuwait,67.65397042750698
United States,61.78352379886089
Qatar,49.97272790684045
China,40.16654102134768
