DW_NAME,VALUE
Reunion,95.53517471119947
Gibraltar,94.83914579630964
Martinique,94.026614356022
Liechtenstein,93.79689845823044
Saint Barthelemy,93.53973506820724
Guadeloupe,93.23581237640872
Macao,92.43620449607734
Guernsey,90.38856036176634
Vatican,89.49008621094892
Falkland Islands,88.89289392935112
Hong Kong,87.1982031886382
Wallis and Futuna,86.39908771053925
Bermuda,85.58194530531104
Tokelau,85.54064100176637
French Guiana,85.40816341254501
Guam,85.2668851370433
French Polynesia,85.13130190621335
Cuba,84.619672796513
Taiwan,83.7937069631667
Isle of Man,83.32920924722892
North Korea,83.15018738448533
British Virgin Islands,82.99239214697391
Saint Helena,82.59575651549602
Puerto Rico,81.46311338882843
Saint Martin (French part),80.92417761147723
Montserrat,80.61429955648137
Bonaire Sint Eustatius and Saba,80.2599946464751
Switzerland,80.20347798667437
Cayman Islands,80.12637271611753
Jersey,79.32113343424182
Niue,79.24357917369323
Saint Pierre and Miquelon,79.23954295037335
American Samoa,79.02522529004722
Ireland,78.00159932499805
Anguilla,76.94987742887986
Norway,76.82197678296062
Western Sahara,76.74970340728302
Luxembourg,76.72294246497187
Northern Mariana Islands,76.53015502928542
Malta,76.23114235568984
Singapore,76.21005480206163
Germany,75.50760628561996
Denmark,75.17790097769812
Netherlands,74.99774516519598
Austria,74.68341252757777
New Caledonia,74.2911158692866
Sweden,74.24880167269582
France,74.24873822316238
Iceland,73.70647984212476
United Kingdom,73.64991165493983
Belgium,73.46963714900362
Japan,73.36881225063637
Faroe Islands,72.81052428828552
Slovenia,72.57750927397637
Portugal,72.27405190883657
United States Virgin Islands,72.21946220222526
New Zealand,72.1753726206624
Italy,71.96119875528508
Cyprus,71.80289443457399
Finland,71.52363879111476
Venezuela,71.52078694929641
South Korea,71.08880171345828
Israel,71.0466991351541
Australia,70.94972106716234
Czechia,70.8767070890173
Eritrea,70.61694605156531
Canada,69.86562500785483
Spain,69.54924467380671
United States,69.42765005670863
Maldives,69.23258629419432
Panama,68.67929048641302
Chile,68.16115219170786
Croatia,68.00970913337547
Mayotte,67.98875591113786
Slovakia,67.78956909756033
Cook Islands,67.74998661852248
Poland,67.71745319008538
Greece,67.27592130451286
Uruguay,67.2094223526252
Hungary,67.15742989100409
Costa Rica,67.11304638307857
East Timor,66.5766669550858
Latvia,66.43821008733518
Afghanistan,66.4006806299641
Lithuania,66.32670024852382
Bulgaria,66.30966159591004
Estonia,66.21259982836791
Andorra,65.93139033882471
Argentina,65.66427336779003
Romania,65.52963830613135
Serbia,65.33152347968797
El Salvador,65.29979730250567
United Arab Emirates,65.28918528880747
Nicaragua,64.99441144858326
Ecuador,64.93351773958159
Thailand,64.4854610223655
Montenegro,64.44472243188987
Peru,64.39480529752
Tonga,64.15396650592093
Guatemala,64.13329090252348
Belarus,63.99181956952498
Moldova,63.76703784664236
Paraguay,63.65916844606975
Albania,63.653238784752894
Colombia,63.529124026227294
Mauritius,63.40478469431672
Greenland,63.29736423419187
Turks and Caicos Islands,63.26875240535316
Mexico,63.24045855110202
Aruba,63.1835370049769
Sri Lanka,63.06485995324812
Bahrain,63.0241136554392
Brazil,62.87075858459911
Armenia,62.84624617009086
Bosnia and Herzegovina,62.830643006412856
Bahamas,62.434274654730416
Honduras,62.3437696375747
Qatar,62.32716947602463
Liberia,62.241542277254375
Barbados,62.10435629819932
Malaysia,62.02396438473172
North Macedonia,61.972736901894365
Vietnam,61.73629688042851
Bhutan,61.64762370747133
Dominican Republic,61.64017599002536
Bolivia,61.63131686611596
Yemen,61.60378455330451
Jamaica,61.58576982213764
Georgia,61.38335767368478
Uzbekistan,61.35731452374128
Sint Maarten (Dutch part),61.31544720305624
Guyana,61.23585359518714
Cambodia,61.20047754566405
Oman,61.0890682241455
Samoa,61.0882846140936
Turkey,60.94519536268668
Azerbaijan,60.92210128031749
Saudi Arabia,60.90527142203566
Ukraine,60.7302844090402
Solomon Islands,60.57998627311827
Suriname,60.56952626370272
South Sudan,60.51128817642663
Cape Verde,60.469204417622784
Kyrgyzstan,60.375229828671166
Kosovo,60.36291296132453
Lebanon,60.28078489443961
Comoros,60.260251098019445
Morocco,60.16230560265681
Philippines,60.11497565134109
Burundi,59.96517288739738
Belize,59.7514825983914
Kuwait,59.64726384149711
Russia,59.37476414038616
Guinea-Bissau,59.34186986948495
Bangladesh,59.09540540989777
Mongolia,59.082184008344576
Saint Lucia,58.966377805105424
Mozambique,58.92357393158132
Vanuatu,58.79993585763986
Curacao,58.795055052139695
Sao Tome and Principe,58.77518371837149
Egypt,58.655151092231016
Tunisia,58.508168593751
Malawi,58.490763900528
Tajikistan,58.458430826452165
Uganda,58.39142855034748
Senegal,58.31458224216036
Brunei,58.27220388705067
Kazakhstan,58.15945774419874
Jordan,58.08501122741739
Myanmar,58.06763496715293
San Marino,58.05888829799795
Iran,57.98429973323655
Fiji,57.87749389794442
Sierra Leone,57.81645348393712
Nepal,57.49404908468184
Algeria,57.43433924525198
Togo,57.3092152716248
Laos,57.25340349060877
Tanzania,56.93243396329903
Ghana,56.732179279638665
Rwanda,56.63104752667176
Turkmenistan,56.62399751303328
Zambia,56.61545090666261
Trinidad and Tobago,56.45501953658826
Ethiopia,56.40697460569746
Cameroon,56.054114643891296
Papua New Guinea,55.98845707554258
Niger,55.89012246096968
Central African Republic,55.572232281741584
Burkina Faso,55.41794658405661
Cote d'Ivoire,55.25447163794075
Mauritania,55.16181965352697
Syria,55.07416842015781
Sudan,55.0217840018365
Kenya,54.97130163535898
Madagascar,54.97012979392085
Gambia,54.85085838014933
Pakistan,54.59112361456636
Namibia,54.55174419530461
Indonesia,54.52566245998258
Monaco,54.17720442735452
Saint Vincent and the Grenadines,54.00652923072848
Benin,53.85439838346762
Democratic Republic of Congo,53.75654538938017
Mali,53.73521229327306
Tuvalu,53.72928471081019
Antigua and Barbuda,53.37008302970067
Guinea,53.21793825989207
Iraq,53.04845242790545
Equatorial Guinea,52.77627808438239
Chad,52.60397481229416
