DW_NAME,VALUE
Hong Kong,97.32629480948036
Saint Barthelemy,93.53973506820724
French Polynesia,92.85626181052396
Liechtenstein,91.49117677475158
Gibraltar,91.25290738668949
Reunion,91.23491308394524
Guernsey,90.38856036176634
Macao,89.76961839668319
Vatican,89.49008621094892
Martinique,88.18798123478146
Bermuda,87.39312944804308
Guadeloupe,86.59083174292776
Puerto Rico,85.47363373978773
Isle of Man,83.32920924722892
Taiwan,81.9635037182585
Cayman Islands,81.33928756099168
Saint Martin (French part),80.92417761147723
Faroe Islands,80.78580762830576
Jersey,79.32113343424182
Anguilla,78.09379788844284
Falkland Islands,77.78882548158734
Northern Mariana Islands,76.53015502928542
New Caledonia,76.40078219748607
Wallis and Futuna,75.97512386360434
Kosovo,74.12605413333084
Turks and Caicos Islands,74.04880273017008
United States,73.69496993372066
Bonaire Sint Eustatius and Saba,72.27357169046792
British Virgin Islands,71.77810787180236
Guam,71.57179388344129
Tokelau,71.08129401036034
French Guiana,70.85450374646271
Curacao,70.3007135671778
Japan,70.27529026541069
Saint Helena,70.26131224909983
Saint Pierre and Miquelon,70.17103048877942
Switzerland,69.76089120072425
France,69.1943669317253
Sint Maarten (Dutch part),68.97099664369587
Aruba,68.91515225586882
Afghanistan,68.45133359030527
Montserrat,68.39610969567629
Mayotte,67.98875591113786
Germany,67.85626313805719
Canada,66.6091008068067
United States Virgin Islands,66.18312070472983
Sweden,65.87755330571744
Australia,65.57156900052627
Austria,65.38381938872695
South Korea,65.05468092132666
Spain,64.7410020886791
Belgium,64.71052821436268
Portugal,64.40835555636772
United Kingdom,64.12105858816231
Malta,63.66565011193994
Niue,63.39774996567486
Netherlands,63.23779428580018
Italy,63.15737026169271
New Zealand,62.9620396689825
San Marino,62.47269067545864
Iceland,62.1693403730809
Finland,61.82596958337797
Chile,61.61003432398526
Denmark,61.43501610659444
Slovenia,61.22475658462726
Cuba,60.84497243815163
North Korea,60.50374646271871
Maldives,60.46361275673627
Andorra,60.192163694886
Norway,60.012444653326455
Cyprus,59.5847066220582
Tuvalu,59.15980356779974
Greece,59.04576005610804
American Samoa,58.05279833030921
Montenegro,57.28428402750819
Israel,57.20542736206504
Czechia,56.60439296234714
Panama,55.45550570994999
Argentina,55.296421762168215
Ireland,54.367918580954
Costa Rica,54.342716202640574
